RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01
60594,7087,Union City,NJ,New York,Hudson,286,250
73409,35242,Hoover,AL,Birmingham,Jefferson,287,185
98378,95687,Vacaville,CA,Vallejo,Solano,288,236
97576,94122,San Francisco,CA,San Francisco,San Francisco,289,811
90657,75056,The Colony,TX,Dallas-Fort Worth,Denton,290,126
70294,29072,Lexington,SC,Columbia,Lexington,291,95
96468,91710,Chino,CA,Riverside,San Bernardino,292,269
69497,27713,Durham,NC,Durham,Durham,293,120
67598,23223,Richmond,VA,Richmond,Richmond City,294,93
84504,60453,Oak Lawn,IL,Chicago,Cook,295,143
60639,7302,Jersey City,NJ,New York,Hudson,296,709
84641,60641,Chicago,IL,Chicago,Cook,297,222
97318,93535,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,298,128
84624,60622,Chicago,IL,Chicago,Cook,299,308
71878,32225,Jacksonville,FL,Jacksonville,Duval,300,117
97319,93536,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,301,150
97189,93257,Porterville,CA,Visalia,Tulare,302,122
67719,23451,Virginia Beach,VA,Virginia Beach,Virginia Beach City,303,222
97435,93727,Fresno,CA,Fresno,Fresno,304,132
69699,28078,Huntersville,NC,Charlotte,Mecklenburg,305,121
65787,19120,Philadelphia,PA,Philadelphia,Philadelphia,306,74
79398,48823,East Lansing,MI,Lansing,Ingham,307,124
97222,93306,Bakersfield,CA,Bakersfield,Kern,308,119
72252,32828,Orlando,FL,Orlando,Orange,309,125
84656,60660,Chicago,IL,Chicago,Cook,310,189
91261,76116,Fort Worth,TX,Dallas-Fort Worth,Tarrant,311,96
58710,2301,Brockton,MA,Boston,Plymouth,312,169
93449,80525,Fort Collins,CO,Fort Collins,Larimer,313,187
72540,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,314,123
82474,55901,Rochester,MN,Rochester,Olmsted,315,160
66043,19720,New Castle,DE,Philadelphia,New Castle,316,134
70909,30135,Douglasville,GA,Atlanta,Douglas,317,82
67189,22204,Arlington,VA,Washington,Arlington,318,358
62015,11204,New York,NY,New York,Kings,319,534
93205,80015,Centennial,CO,Denver,Arapahoe,320,189
98413,95758,Elk Grove,CA,Sacramento,Sacramento,321,195
65701,19020,Bensalem,PA,Philadelphia,Bucks,322,151
70904,30127,Powder Springs,GA,Atlanta,Cobb,323,97
84317,60056,Mount Prospect,IL,Chicago,Cook,324,213
66787,21122,Pasadena,MD,Baltimore,Anne Arundel,325,218
69491,27707,Durham,NC,Durham,Durham,326,124
61646,10032,New York,NY,New York,New York,327,762
66832,21222,Dundalk,MD,Baltimore,Baltimore,328,126
66679,20874,Germantown,MD,Washington,Montgomery,329,209
62030,11219,New York,NY,New York,Kings,330,536
72538,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,331,79
94871,85282,Tempe,AZ,Phoenix,Maricopa,332,151
84340,60085,Waukegan,IL,Chicago,Lake,333,86
97970,95076,Watsonville,CA,Santa Cruz,Santa Cruz,334,350
92120,77840,College Station,TX,College Station,Brazos,335,111
72626,33467,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,336,148
95770,89031,North Las Vegas,NV,Las Vegas,Clark,337,118
97745,94538,Fremont,CA,San Francisco,Alameda,338,573
76231,42101,Bowling Green,KY,Bowling Green,Warren,339,85
97223,93307,Bakersfield,CA,Bakersfield,Kern,340,117
71719,31907,Columbus,GA,Columbus,Muscogee,341,54
84617,60615,Chicago,IL,Chicago,Cook,342,187
70696,29730,Rock Hill,SC,Charlotte,York,343,86
72460,33157,Village of Palmetto Bay,FL,Miami-Fort Lauderdale,Miami-Dade,344,172
99589,98133,Shoreline,WA,Seattle,King,345,302
